Year,Country,Happiness Score,Social Support,Healthy Life Expectancy,Freedom,Corruption,Generosity,Log GDP per Capita
2020,Dominican Republic,5.689199924,0.882085383,65.80748749,0.866202772,0.755999923,-0.131263286,9.79454597
2021,Dominican Republic,5.545,0.853,66.102,0.86,0.714,-0.133,9.802
2015,Ecuador,5.975,0.99903,0.79075,0.48574,0.1809,0.11541,9.311116158
2016,Ecuador,5.976,0.85974,0.68613,0.4027,0.18037,0.10074,9.308761089
2017,Ecuador,6.007999897,1.286168814,0.685636222,0.455198199,0.140134647,0.150112465,9.360303343
2018,Ecuador,5.973,1.33,0.736,0.556,0.12,0.114,9.379183437
2019,Ecuador,6.028,1.312,0.868,0.498,0.087,0.126,9.380206802
2020,Ecuador,5.925199986,0.836418986,68.50003815,0.859828949,0.801215112,-0.127014965,9.29613012
2021,Ecuador,5.764,0.821,68.8,0.842,0.843,-0.124,9.313
2015,Egypt,4.194,0.747,0.61712,0.17288,0.06324,0.11291,9.35118018
2016,Egypt,4.362,0.49813,0.52116,0.18847,0.10393,0.12706,9.322987844
2017,Egypt,4.735000134,0.997471392,0.520187259,0.282110155,0.114381365,0.128631443,9.306966638
2018,Egypt,4.419,1.025,0.553,0.312,0.107,0.092,9.362137349
2019,Egypt,4.166,1.039,0.644,0.241,0.067,0.076,9.414155979
2020,Egypt,4.151400089,0.735447824,61.78015137,0.708354175,0.787726879,-0.196878314,9.442007808
2021,Egypt,4.283,0.75,61.998,0.749,0.795,-0.182,9.367
2015,El Salvador,6.13,1.02507,0.67737,0.4035,0.11776,0.10692,8.935599424
2016,El Salvador,6.068,0.80975,0.596,0.37269,0.10613,0.08877,8.992013924
2017,El Salvador,6.002999783,1.182125092,0.596018553,0.43245253,0.08998096,0.078257985,9.042401152
2018,El Salvador,6.167,1.231,0.639,0.461,0.082,0.065,9.085066311
2019,El Salvador,6.253,1.242,0.789,0.43,0.074,0.093,9.121209776
2020,El Salvador,6.34829998,0.806092262,66.10826111,0.833805263,0.754319906,-0.121072978,9.03842285
2021,El Salvador,6.061,0.762,66.402,0.888,0.688,-0.11,9.054
2015,Estonia,5.429,1.22791,0.77361,0.44888,0.15184,0.0868,10.28109919
2016,Estonia,5.517,1.05163,0.68098,0.41511,0.18519,0.08423,10.35178072
2017,Estonia,5.611000061,1.4766711,0.695168316,0.47913143,0.183248922,0.098890811,10.42886477
2018,Estonia,5.739,1.532,0.737,0.553,0.174,0.086,10.49817695
2019,Estonia,5.893,1.528,0.874,0.495,0.161,0.103,10.54138822
2020,Estonia,6.021800041,0.934729993,68.60495758,0.87770915,0.623073816,-0.111697771,10.53477508
2021,Estonia,6.189,0.941,68.8,0.909,0.527,-0.106,10.481
2015,Ethiopia,4.512,0.60406,0.44055,0.4345,0.15048,0.24325,7.412972025
2016,Ethiopia,4.508,0.37932,0.34578,0.36703,0.1717,0.29522,7.538395304
2017,Ethiopia,4.460000038,0.864669204,0.353409708,0.408842742,0.165455714,0.31265074,7.611626208
2018,Ethiopia,4.35,0.95,0.391,0.452,0.146,0.22,7.67509155
2019,Ethiopia,4.286,1.033,0.532,0.344,0.1,0.209,7.747315163
2020,Ethiopia,4.186200142,0.743307352,58.63959122,0.740795195,0.753690004,0.043377332,7.792684164
2021,Ethiopia,4.275,0.764,59,0.752,0.761,0.082,7.694
2015,Finland,7.406,1.31826,0.88911,0.64169,0.41372,0.23351,10.65720535
2016,Finland,7.413,1.13464,0.81091,0.57104,0.41004,0.25492,10.71296
2017,Finland,7.468999863,1.540246725,0.80915767,0.617950857,0.382611543,0.245482773,10.7699604
2018,Finland,7.632,1.592,0.874,0.681,0.393,0.202,10.81135501
2019,Finland,7.769,1.587,0.986,0.596,0.393,0.153,10.82618849
2020,Finland,7.808700085,0.954329729,71.9008255,0.949172199,0.195444584,-0.059482019,10.82985308
2021,Finland,7.842,0.954,72,0.949,0.186,-0.098,10.775
2015,France,6.575,1.26038,0.94579,0.55011,0.20646,0.12332,10.61766204
2016,France,6.478,1.00508,0.83795,0.46562,0.17808,0.1216,10.66720068
2017,France,6.441999912,1.387776852,0.844465852,0.470222116,0.172502428,0.129762307,10.70497476
2018,France,6.489,1.466,0.908,0.52,0.176,0.098,10.74885359
2019,France,6.592,1.472,1.045,0.436,0.183,0.111,10.8010513
2020,France,6.663799763,0.937103748,73.80193329,0.825467646,0.583521128,-0.130641967,10.75754201
2021,France,6.69,0.942,74,0.822,0.571,-0.147,10.704
2015,Gabon,3.896,0.90528,0.43372,0.31914,0.11091,0.06822,9.595571211
2016,Gabon,4.121,0.72368,0.3494,0.28098,0.09314,0.06244,9.567048594
2017,Gabon,4.465000153,1.155620217,0.356578588,0.312328577,0.076046787,0.043785378,9.616261645
2018,Gabon,4.758,1.164,0.404,0.356,0.052,0.032,9.62229714
2019,Gabon,4.799,1.183,0.571,0.295,0.055,0.043,9.653609726
2020,Gabon,4.829299927,0.787886858,59.71533966,0.704829216,0.849150956,-0.222261623,9.622871549
2021,Gabon,4.852,0.776,59.962,0.731,0.84,-0.2,9.603
2015,Georgia,4.297,0.38562,0.72926,0.40577,0.38331,0.05547,9.400065241
2016,Georgia,4.252,0.19249,0.64035,0.32461,0.3188,0.06786,9.461759059
2017,Georgia,4.285999775,0.570614934,0.649546981,0.309410036,0.251666635,0.054008815,9.517067976
2018,Georgia,4.34,0.592,0.643,0.375,0.215,0.038,9.588477492
2019,Georgia,4.519,0.666,0.752,0.346,0.164,0.043,9.656509257
2020,Georgia,4.672599792,0.629033029,64.49520874,0.801641524,0.665944695,-0.22892037,9.600148622
2021,Georgia,4.891,0.671,64.3,0.783,0.655,-0.238,9.585
2015,Germany,6.75,1.29937,0.89186,0.61477,0.21843,0.28214,10.7707935
2016,Germany,6.994,1.09774,0.81487,0.53466,0.28551,0.30452,10.83130527
2017,Germany,6.951000214,1.472520351,0.798950732,0.562511384,0.276731938,0.33626917,10.8793945
2018,Germany,6.965,1.474,0.861,0.586,0.28,0.273,10.91935872
2019,Germany,6.985,1.454,0.987,0.495,0.265,0.261,10.92688924
2020,Germany,7.075799942,0.898874462,72.20201874,0.867371082,0.456422031,0.080179386,10.91130065
2021,Germany,7.155,0.903,72.5,0.875,0.46,0.011,10.873
2015,Ghana,4.633,0.67954,0.40132,0.42342,0.04355,0.23087,8.557572631
2016,Ghana,4.276,0.49353,0.29681,0.40973,0.0326,0.21203,8.515738201
2017,Ghana,4.119999886,0.873664737,0.295637727,0.423026294,0.02533637,0.256923944,8.540109935
2018,Ghana,4.657,0.896,0.337,0.499,0.029,0.212,8.602062169
2019,Ghana,4.996,0.868,0.486,0.381,0.04,0.245,8.661178172
